	hrf_0	hrf_1	hrf_2	hrf_3	hrf_4	hrf_5	hrf_6	hrf_7	hrf_8	hrf_9	hrf_10	hrf_11	hrf_12	hrf_13	hrf_14	hrf_15	hrf_16	hrf_17	hrf_18	hrf_19
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.1	0.0021769326318659492	0.0008988459375307653	0.0003176334325365265	6.356397715690132e-06	-0.00041566964707822826	-0.0014079717897100218	-0.002875266049624127	-0.009655018866122866	-5.8102529418899e-06	4.2346701846898665e-09	2.960406825285934e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.2	0.011924165361135572	0.006057808765553951	0.0026967984669236784	0.00022428363654467535	-0.0015444914724061659	-0.003609936147047001	-0.005949604159509662	-0.01527786432430218	-2.8021697409187835e-05	4.7273070452100084e-07	2.8316673657996306e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.30000000000000004	0.03104366401170047	0.01776979789097338	0.009047243202772785	0.001368036949420659	-0.0029951441723906802	-0.006048755760345444	-0.008954688670821095	-0.019816663174009354	-5.6786396917141246e-05	6.934397157200046e-06	1.1530831499986349e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.4	0.05960181194695832	0.037080080113590395	0.020753098988201962	0.004559763750163829	-0.004023868969647677	-0.008199572621186231	-0.011607913500714998	-0.023481029393218583	-3.868688531872811e-05	4.433585556653346e-05	1.1695935004441004e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.5	0.09684466176171143	0.06420267189765294	0.03865295912347917	0.011085785201220897	-0.0035668954571169147	-0.009326075372195666	-0.013443270284759577	-0.026070023181512015	0.00015763716720272733	0.00017985487147669172	6.183563746685614e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.6000000000000001	0.14159662973680684	0.09878758200816826	0.06310427278546919	0.022180379738662635	-0.00036281520329160604	-0.00848666900842216	-0.013799584674588496	-0.027131239812866147	0.0007695360151715631	0.0005471755556456567	0.00022364253602169139	1.9507458242696745e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.7000000000000001	0.19248508183943713	0.14011198704775615	0.09406813224385094	0.03886925940747932	0.006891543642054473	-0.0046137732287729865	-0.011862972722164763	-0.026039781618209173	0.002152417189529853	0.0013648962095526905	0.0006306145864557213	3.827651709195921e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.8	0.24807775072012442	0.18722112204211183	0.1311946828528421	0.061873804446469484	0.019391094867150335	0.0033777154144667455	-0.006740199890094552	-0.022073403542103007	0.004772818078856821	0.0029441393578560275	0.0014913631109162216	4.89354411469996e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.9	0.30696908022569575	0.239032786766761	0.17390145504910912	0.09156712563617672	0.038100993519656685	0.01648037448641903	0.0024558618518600926	-0.01448860326287997	0.009184253889394301	0.005683467171356642	0.003094143105971703	0.000258150142608643	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	0.36783407208911173	0.29441442271369683	0.22144170087361942	0.12797028385135895	0.0636735710146841	0.03550007724072312	0.016523410972733906	-0.0025920622030096746	0.015990413850747176	0.010051827667102753	0.005801182114822641	0.000873169069350768	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1	0.42946046406032695	0.352239086641194	0.27296202909085415	0.1707772231293409	0.09640495819764844	0.06098709635020047	0.03610166383542852	0.014198393391638765	0.02580139215712578	0.01656206590027132	0.010033627379010198	0.002258887854332029	3.728791201789423e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.2000000000000002	0.49076607148665274	0.41142502923949764	0.3275497227150452	0.2193984072966155	0.13622737752185066	0.09319576915689813	0.06161935896679578	0.03630718041927714	0.03918853897052965	0.025738486824907782	0.016249187140958504	0.004883471493174689	4.169332928539176e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.3	0.5508058329004046	0.47096249841378407	0.3842706551319648	0.2730149793868633	0.1827303538296607	0.1320717171867585	0.09326398976703493	0.06397037354944367	0.056642667148678355	0.0380821848226711	0.02491518726726075	0.009282813831033304	0.000448737187298801	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.4000000000000001	0.6087716875253392	0.5299306108962162	0.4421989522010499	0.33063709987039924	0.23520312752499892	0.17726293612316443	0.13097123477270506	0.09722099306777807	0.0785391337818628	0.05403755574971835	0.03647990102565222	0.01601771305028375	0.0018793596014331523	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.5	0.6639874977626891	0.5875065625262577	0.5004396078689108	0.3911617845721572	0.29269072865857587	0.22814968225438467	0.17443224449337852	0.13588869310359258	0.10511200997786031	0.07396277987417686	0.05134477665132719	0.025630470761800958	0.005161197546786464	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.6	0.7159006181018609	0.6429690121850111	0.5581452221587581	0.453426984278914	0.35405701298922615	0.28388764305714326	0.22311540520958617	0.17961155508010984	0.13643833921599932	0.09810627917103631	0.06983972204998094	0.03860569384851868	0.011144646328299793	7.030480035615891e-05	0.0	0.0	0.0	0.0	0.0	0.0
1.7000000000000002	0.7640712948885101	0.6956971359071217	0.614527935955717	0.5162598100826764	0.4180491330119642	0.34345909191650587	0.2762987726693842	0.22785728804161554	0.17243246711690455	0.1265903411054368	0.09220302666807814	0.05533827971288876	0.02059802806027208	0.0013550314822302714	0.0	0.0	0.0	0.0	0.0	0.0
